"Time","481714f496e4","6f2c053265f6","78034b84ad0f","8d2d383ac982"
1592665662400,,,,
1592665662600,,,,
1592665662800,,,,
1592665663000,,,,75815036.00000001
1592665663200,,,,
1592665663400,,,,
1592665663600,,,,
1592665663800,,,,
1592665664000,,75815084.00000001,75815028,
1592665664200,,,,
1592665664400,,,,
1592665664600,,,,
1592665664800,,,,
1592665665000,,,,
1592665665200,,,,
1592665665400,,,,
1592665665600,,,,
1592665665800,,,,
1592665666000,,,,
1592665666200,,,,
1592665666400,,,,
1592665666600,,,,
1592665666800,,,,
1592665667000,75814900.00000001,,,
1592665667200,,,,
1592665667400,,,,
1592665667600,,,,
1592665667800,,,,
1592665668000,,,,75814736.00000001
1592665668200,,,,
1592665668400,,,,
1592665668600,,,,
1592665668800,,,,
1592665669000,,75814728,75814732.00000001,
1592665669200,,,,
1592665669400,,,,
1592665669600,,,,
1592665669800,,,,
1592665670000,,,,
1592665670200,,,,
1592665670400,,,,
1592665670600,,,,
1592665670800,,,,
1592665671000,,,,
1592665671200,,,,
1592665671400,,,,
1592665671600,,,,
1592665671800,,,,
1592665672000,75814648.00000001,,,
1592665672200,,,,
1592665672400,,,,
1592665672600,,,,
1592665672800,,,,
1592665673000,,,,
1592665673200,,,,
1592665673400,,,,
1592665673600,,,,
1592665673800,,,,
1592665674000,,75814600,75814612.00000001,75814612.00000001
1592665674200,,,,
1592665674400,,,,
1592665674600,,,,
1592665674800,,,,
1592665675000,,,,
1592665675200,,,,
1592665675400,,,,
1592665675600,,,,
1592665675800,,,,
1592665676000,,,,
1592665676200,,,,
1592665676400,,,,
1592665676600,,,,
1592665676800,,,,
1592665677000,75814528,,,
1592665677200,,,,
1592665677400,,,,
1592665677600,,,,
1592665677800,,,,
1592665678000,,,,
1592665678200,,,,
1592665678400,,,,
1592665678600,,,,
1592665678800,,,,
1592665679000,,,75814524.00000001,75814528
1592665679200,,,,
1592665679400,,,,
1592665679600,,,,
1592665679800,,,,
1592665680000,,75814516.00000001,,
1592665680200,,,,
1592665680400,,,,
1592665680600,,,,
1592665680800,,,,
1592665681000,,,,
1592665681200,,,,
1592665681400,,,,
1592665681600,,,,
1592665681800,,,,
1592665682000,,,,
1592665682200,,,,
1592665682400,,,,
1592665682600,,,,
1592665682800,,,,
1592665683000,75814424.00000001,,,
1592665683200,,,,
1592665683400,,,,
1592665683600,,,,
1592665683800,,,,
1592665684000,,,75814404.00000001,75814412
1592665684200,,,,
1592665684400,,,,
1592665684600,,,,
1592665684800,,,,
1592665685000,,75814400.00000001,,
1592665685200,,,,
1592665685400,,,,
1592665685600,,,,
