"Time","192.168.1.165","192.168.1.179","192.168.1.200","192.168.1.206"
1592505554500,,,,
1592505555000,,,,26096
1592505555500,,,,
1592505556000,,39952,,
1592505556500,,,,
1592505557000,,,50800,
1592505557500,,,,
1592505558000,,,,
1592505558500,,,,
1592505559000,,,,
1592505559500,,,,
1592505560000,,,,38816
1592505560500,,,,
1592505561000,,50832,,
1592505561500,,,,
1592505562000,99360,,36720,
1592505562500,,,,
1592505563000,,,,
1592505563500,,,,
1592505564000,,,,
1592505564500,,,,
1592505565000,,,,
1592505565500,,,,
1592505566000,,34832,,49056
1592505566500,,,,
1592505567000,,,,
1592505567500,,,,
1592505568000,,,49520,
1592505568500,,,,
1592505569000,,,,
1592505569500,,,,
1592505570000,,,,
1592505570500,,,,
1592505571000,,,,31808
1592505571500,,,,
1592505572000,,47504,,
1592505572500,,,,
1592505573000,,,32224,
1592505573500,,,,
1592505574000,,,,
1592505574500,,,,
1592505575000,,,,
1592505575500,,,,
1592505576000,,,,
1592505576500,,,,
1592505577000,61568,32480,,42336
1592505577500,,,,
1592505578000,,,,
1592505578500,,,,
1592505579000,,,43104,
1592505579500,,,,
1592505580000,,,,
1592505580500,,,,
1592505581000,,,,
1592505581500,,,,
1592505582000,,,,27696
1592505582500,,,,
1592505583000,,50336,,
1592505583500,,,,
1592505584000,,,25152,
1592505584500,,,,
1592505585000,,,,
1592505585500,,,,
1592505586000,,,,
1592505586500,,,,
1592505587000,93200,,,
1592505587500,,,,
1592505588000,,29792,,37888
1592505588500,,,,
1592505589000,,,,
1592505589500,,,,
1592505590000,,,37952,
1592505590500,,,,
1592505591000,,,,
1592505591500,,,,
1592505592000,75104,,,
1592505592500,,,,
1592505593000,,,,51440
1592505593500,,,,
1592505594000,,39056,,
1592505594500,,,,
1592505595000,,,49856,
1592505595500,,,,
1592505596000,,,,
1592505596500,,,,
1592505597000,,,,
1592505597500,,,,
1592505598000,,,,
1592505598500,,,,
1592505599000,78176,49616,,33696
1592505599500,,,,
1592505600000,,,33824,
1592505600500,,,,
1592505601000,,,,
1592505601500,,,,
1592505602000,,,,
1592505602500,,,,
1592505603000,,,,
1592505603500,,,,
