"Time","60b90bf4acfc","a4a5072f8ff0","b6759833b9d8","fb897af970b5"
1592601565000,,,,
1592601565500,,,,
1592601566000,,,,
1592601566500,,,,
1592601567000,152640,233472,,96512
1592601567500,,,,
1592601568000,,,,
1592601568500,,,,
1592601569000,,,211168,
1592601569500,,,,
1592601570000,,,,
1592601570500,,,,
1592601571000,,,,
1592601571500,,,,
1592601572000,173920,242432,,106464
1592601572500,,,,
1592601573000,,,,
1592601573500,,,,
1592601574000,,,177152,
1592601574500,,,,
1592601575000,,,,
1592601575500,,,,
1592601576000,,,,

