"Time","24d3987e9b67","6c0244b574f8","e3db9527e60b","e6f3d5f0b9f2"
1591627538000,,,,
1591627539000,,,,
1591627540000,,,,
1591627541000,,,,
1591627542000,71494380.00000001,71494384,,71494384
1591627543000,,,71494380.00000001,
1591627544000,,,,
1591627545000,,,,
1591627546000,,,,
1591627547000,,71493040.00000001,,71493040.00000001
1591627548000,71492380.00000001,,71492380.00000001,
1591627549000,,,,
1591627550000,,,,
1591627551000,,,,
1591627552000,,,,
1591627553000,71491064.00000001,,71491064.00000001,71491068.00000001
1591627554000,,71490388.00000001,,
1591627555000,,,,
1591627556000,,,,
1591627557000,,,,
1591627558000,71489056.00000001,,71489052.00000001,71489056.00000001
1591627559000,,,,
1591627560000,,71488396.00000001,,
1591627561000,,,,
1591627562000,,,,
1591627563000,71479740.00000001,,71479728.00000001,71479740.00000001
1591627564000,,,,
1591627565000,,71479020.00000001,,
1591627566000,,,,
1591627567000,,,,
1591627568000,71477220.00000001,,71477220.00000001,71477224.00000001
1591627569000,,,,
1591627570000,,71476736.00000001,,
1591627571000,,,,
1591627572000,,,,
1591627573000,71476372,,71476368.00000001,71476480.00000001
1591627574000,,,,
1591627575000,,71475716.00000001,,
1591627576000,,,,
1591627577000,,,,
1591627578000,71474216.00000001,,,71474216.00000001
1591627579000,,,71474208.00000001,
1591627580000,,71473576.00000001,,
1591627581000,,,,
1591627582000,,,,
1591627583000,,,,71473064.00000001
1591627584000,71472404.00000001,,71472404.00000001,
1591627585000,,71472380.00000001,,
1591627586000,,,,
1591627587000,,,,
1591627588000,,,,
1591627589000,71470916,,71470912.00000001,71470920.00000001
1591627590000,,,,
1591627591000,,71470380.00000001,,
1591627592000,,,,
1591627593000,,,,
1591627594000,71468916.00000001,,71468912.00000001,71468916.00000001
1591627595000,,,,
1591627596000,,71468384,,
1591627597000,,,,
1591627598000,,,,
1591627599000,71467568,,71467564.00000001,71467572.00000001
1591627600000,,,,
1591627601000,,71467036.00000001,,
1591627602000,,,,
1591627603000,,,,
1591627604000,71465460.00000001,,71465456,71465464
1591627605000,,,,
1591627606000,,71464804.00000001,,
1591627607000,,,,
1591627608000,,,,
1591627609000,71464480.00000001,,,71464480.00000001
1591627610000,,,71463852.00000001,
1591627611000,,71463848.00000001,,
1591627612000,,,,
1591627613000,,,,
1591627614000,,,,71463780.00000001
1591627615000,71463772.00000001,,71463812,
1591627616000,,71463152.00000001,,
1591627617000,,,,
1591627618000,,,,
