"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592770980000,,37783580,37728372.00000001,37772864,37749644,,37740368.00000001,,,37730108,,,37746276.00000001,37729448.00000001,37755216.00000001,,,,,37777076,37738140,37745700,37781112,,37731704,37783580,,37747808,,37747496.00000001,,,37728292,,,,37749908,,,,,37746084,37780412.00000001,37781064,,37748056.00000001,37742216.00000001,37768016.00000001,37777852,37733320.00000001
1592770980500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770981000,,,,,,37728388.00000001,,,,,,,,,,,37728292,,37728388.00000001,,,,,,,,,,,,,,,37728292,,,,,37727580.00000001,,,,,,,,,,,
1592770981500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770982000,,,,,,,,,37727512.00000001,,,37727516,,,,,,,,,,,,,,,,,,,,,,,,,,,,37727508,37727508,,,,,,,,,
1592770982500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770983000,,,,,,,,37727500,,,,,,,,,,,,,,,,37727504.00000001,,,37727504.00000001,,,,,37727500,,,,,,37727536,,,,,,,37727508,,,,,
1592770983500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770984000,37727520.00000001,,,,,,,,,,37727524,,,,,37727532,,37727524,,,,,,,,,,,,,37727520.00000001,,,,37727524,37727524,,,,,,,,,,,,,,
1592770984500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770985000,,37727516,,37727504.00000001,37727484.00000001,,,,,,,,37727484.00000001,,37727492.00000001,,,,,37727508,,37727484.00000001,37727508,,,37727516,,37727484.00000001,37727516,37727484.00000001,,,,,,,37727488,,,,,37727484.00000001,37727508,37727508,,37727484.00000001,37727484.00000001,37727504.00000001,37727508,
1592770985500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770986000,,,37727476.00000001,,,37727432.00000001,37727480,,,37727476.00000001,,,,37727476.00000001,,,37727460,,37727432.00000001,,37727480,,,,37727476.00000001,,,,,,,,37727464,37727444,,,,,37727432.00000001,,,,,,,,,,,37727480
