"Time","Device","Duration","State"
1592771102000,172.20.0.21,215,0
1592771103000,172.20.0.21,837,1
1592771104000,172.20.0.21,1053,1
1592771105000,172.20.0.21,1113,0
1592771106000,172.20.0.21,1220,0
1592771107000,172.20.0.21,1373,0
1592771108000,172.20.0.21,498,0
1592771112000,172.20.0.21,338,1
1592771114000,172.20.0.21,20013,0
1592771115000,172.20.0.21,20002,0
1592771116000,172.20.0.21,20012,0
1592771117000,172.20.0.21,317,1
1592771118000,172.20.0.21,305,0
1592771119000,172.20.0.21,20035,0
1592771120000,172.20.0.21,371,0
1592771121000,172.20.0.21,20028,0
1592771122000,172.20.0.21,20002,0
1592771204000,172.20.0.21,315,0
1592771225000,172.20.0.21,20006,0
1592771228000,172.20.0.21,20005,0
1592771229000,172.20.0.21,20003,0
1592771230000,172.20.0.21,20001,0
1592770981000,172.20.0.22,350,1
1592771012000,172.20.0.22,349,1
1592771071000,172.20.0.22,20010,0
1592771099000,172.20.0.22,327,1
1592771100000,172.20.0.22,367,1
1592771101000,172.20.0.22,194,0
1592771102000,172.20.0.22,693,1
1592771104000,172.20.0.22,1058,1
1592771105000,172.20.0.22,1155,0
1592771106000,172.20.0.22,1137,0
1592771107000,172.20.0.22,1368,1
1592771108000,172.20.0.22,660,0
1592771112000,172.20.0.22,39,0
1592771116000,172.20.0.22,20002,0
1592771117000,172.20.0.22,282,1
1592771118000,172.20.0.22,428,1
1592771119000,172.20.0.22,20031,0
1592771121000,172.20.0.22,505,0
1592771122000,172.20.0.22,583,1
1592771204000,172.20.0.22,326,0
1592771225000,172.20.0.22,20003,0
1592771228000,172.20.0.22,20003,0
1592770981000,172.20.0.23,371,1
1592771012000,172.20.0.23,378,1
1592771071000,172.20.0.23,20014,0
1592771099000,172.20.0.23,326,1
1592771100000,172.20.0.23,372,1
1592771101000,172.20.0.23,494,1
1592771102000,172.20.0.23,691,1
1592771103000,172.20.0.23,674,1
1592771104000,172.20.0.23,1073,1
1592771105000,172.20.0.23,1165,0
1592771106000,172.20.0.23,1049,0
1592771107000,172.20.0.23,1385,1
1592771108000,172.20.0.23,639,1
1592771115000,172.20.0.23,10586,0
1592771116000,172.20.0.23,20004,0
1592771117000,172.20.0.23,361,1
1592771118000,172.20.0.23,324,1
1592771119000,172.20.0.23,20032,0
1592771120000,172.20.0.23,374,1
1592771122000,172.20.0.23,397,1
1592771126000,172.20.0.23,20001,0
1592771127000,172.20.0.23,20002,0
1592771147000,172.20.0.23,258,1
1592771148000,172.20.0.23,286,1
1592771168000,172.20.0.23,288,1
1592771169000,172.20.0.23,405,1
1592771189000,172.20.0.23,20003,0
1592771190000,172.20.0.23,20005,0
1592771191000,172.20.0.23,20028,0
1592771192000,172.20.0.23,20075,0
1592771193000,172.20.0.23,20132,0
1592771203000,172.20.0.23,20001,0
1592771205000,172.20.0.23,339,0
1592771206000,172.20.0.23,20000,0
1592771210000,172.20.0.23,224,0
1592771214000,172.20.0.23,714,1
1592771218000,172.20.0.23,510,0
1592771219000,172.20.0.23,71,0
1592771233000,172.20.0.23,250,0
1592770981000,172.20.0.24,345,1
1592771012000,172.20.0.24,295,1
1592771071000,172.20.0.24,20017,0
1592771100000,172.20.0.24,368,1
1592771101000,172.20.0.24,475,1
1592771102000,172.20.0.24,492,0
1592771103000,172.20.0.24,673,1
1592771104000,172.20.0.24,1075,1
1592771105000,172.20.0.24,1121,0
1592771106000,172.20.0.24,1307,0
1592771107000,172.20.0.24,1354,1
1592771108000,172.20.0.24,691,0
1592771112000,172.20.0.24,315,1
1592771113000,172.20.0.24,263,0
1592771116000,172.20.0.24,20025,0
1592771117000,172.20.0.24,321,1
1592771119000,172.20.0.24,20044,0
1592771120000,172.20.0.24,323,0
1592771121000,172.20.0.24,20034,0
1592771122000,172.20.0.24,20007,0
1592771123000,172.20.0.24,20005,0
1592771133000,172.20.0.24,20003,0
1592771204000,172.20.0.24,306,0
1592771212000,172.20.0.24,1091,0
1592771213000,172.20.0.24,676,0
1592771215000,172.20.0.24,83,0
1592771216000,172.20.0.24,464,1
1592771218000,172.20.0.24,338,0
1592771219000,172.20.0.24,71,0
1592771229000,172.20.0.24,20005,0
1592771230000,172.20.0.24,20005,0
1592771306000,172.20.0.24,20000,0
1592771307000,172.20.0.24,20006,0
1592771308000,172.20.0.24,20000,0
1592771310000,172.20.0.24,20002,0
1592770981000,172.20.0.25,404,1
1592771012000,172.20.0.25,371,1
1592771071000,172.20.0.25,20015,0
1592771100000,172.20.0.25,345,1
1592771101000,172.20.0.25,390,0
